ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D344146,北京同誉堂药店有限公司,C,12426.096,,,北京市顺义区北京临空经济核心区安泰大街9号院20号楼1层108,116.538928,40.089066,False,5.06059979476832,76056,,4,363
D344155,北京康益友医药有限公司,C,11390.542,,,北京市门头沟区滨河临镜苑2号商业楼1层1-2,116.115626,39.934558,False,6.446963304386148,100038,,4,364
D346231,北京祝您健康医药有限责任公司第一分公司,C,19784.311,,,北京市昌平区沙河镇白各庄村白各庄商业中心底商F1-02,116.35854,40.116007,False,5.076731794895136,71112,,4,365
D347582,北京高远百康大药房有限公司莲宝路分店,C,51493.156,D070415,北京高远百康大药房有限公司,北京市海淀区莲宝路10号院商用楼一层-2,116.297319,39.888588,False,24.352246288865643,371875,,2,366
D348438,北京普安法玛西医药有限公司常营药房,C,24019.123,D047005,北京普安法玛西医药有限公司,北京市朝阳区常通路2号院1号楼B2-12a,116.60015,39.925349,False,12.391656468310476,190776,,3,367
D348444,北京东升天保堂连锁药店有限公司回龙观二分店,C,4576.339,D106309,北京恒创佳益医药有限公司,东升天保堂连锁药店(回龙观二分店),116.334383,39.995077,False,28.587024256200664,476137,,1,368
D354939,北京天天爱心堂大药房,C,742.19,,,天天爱心堂大药房,116.299314,39.814135,False,7.118128535741539,118839,,4,369
D354952,京润堂（北京）医药有限责任公司,C,2120.927,,,北京市海淀区玉海园五里20号配套商业楼1-109,116.259367,39.922881,False,23.663991899296587,395322,,2,370
D354962,北京昌药医药连锁经营有限公司济仁堂大药房,C,17326.494,,,北京市昌平区城区镇北环路3号,116.238289,40.229923,True,11.599735501670143,182239,,3,371
D354964,北京卫民堂医药有限公司,C,1190.761,,,北京市丰台区开阳路8号F1-20,116.376009,39.8683,False,22.190561378648272,371273,,2,372
D355123,北京高远百康大药房有限公司花家地分店,C,8197.265,D070415,北京高远百康大药房有限公司,北京市朝阳区花家地小区17号楼一层1号,116.468002,39.983455,False,12.778234227443466,208471,,3,373
D355124,北京高远百康大药房有限公司朝外分店,C,17804.043,D070415,北京高远百康大药房有限公司,北京市朝阳区吉庆里9、10号楼1层商业用房1-2,116.439317,39.927203,False,28.382125959346194,463327,,1,374
D355127,北京高远百康大药房有限公司府前街分店,C,13388.667,D070415,北京高远百康大药房有限公司,北京市顺义区站前街8号院5号楼1层104,116.647965,40.124814,False,7.882814501589026,122700,,4,375
D355128,北京高远百康大药房有限公司良乡大学城分店,C,10319.656,D070415,北京高远百康大药房有限公司,北京市房山区书院南街13号院1号楼1层(01)2-124,116.169064,39.72243,False,3.948273689535334,58896,,4,376
D355140,北京好益康大药房有限公司第一分店,C,64.437,,,北京市房山区西潞街道苏庄三里共创大厦107,116.123221,39.72382,False,7.03969278934999,118004,,4,377
